class_id,class_name,accuracy
0,apple,0.47
1,aquarium_fish,0.21
2,baby,0.27
3,bear,0.05
4,beaver,0.04
5,bed,0.14
6,bee,0.07
7,beetle,0.01
8,bicycle,0.36
9,bottle,0.07
10,bowl,0.0
11,boy,0.02
12,bridge,0.19
13,bus,0.19
14,butterfly,0.12
15,camel,0.17
16,can,0.06
17,castle,0.61
18,caterpillar,0.25
19,cattle,0.02
20,chair,0.41
21,chimpanzee,0.53
22,clock,0.0
23,cloud,0.6
24,cockroach,0.52
25,couch,0.09
26,crab,0.01
27,crocodile,0.17
28,cup,0.0
29,dinosaur,0.12
30,dolphin,0.16
31,elephant,0.22
32,flatfish,0.0
33,forest,0.19
34,fox,0.01
35,girl,0.07
36,hamster,0.29
37,house,0.13
38,kangaroo,0.08
39,keyboard,0.01
40,lamp,0.0
41,lawn_mower,0.42
42,leopard,0.36
43,lion,0.39
44,lizard,0.0
45,lobster,0.07
46,man,0.1
47,maple_tree,0.3
48,motorcycle,0.28
49,mountain,0.28
50,mouse,0.0
51,mushroom,0.04
52,oak_tree,0.82
53,orange,0.61
54,orchid,0.5
55,otter,0.01
56,palm_tree,0.1
57,pear,0.27
58,pickup_truck,0.21
59,pine_tree,0.13
60,plain,0.76
61,plate,0.17
62,poppy,0.45
63,porcupine,0.48
64,possum,0.01
65,rabbit,0.01
66,raccoon,0.11
67,ray,0.29
68,road,0.5
69,rocket,0.08
70,rose,0.26
71,sea,0.45
72,seal,0.01
73,shark,0.37
74,shrew,0.01
75,skunk,0.23
76,skyscraper,0.53
77,snail,0.01
78,snake,0.02
79,spider,0.09
80,squirrel,0.06
81,streetcar,0.15
82,sunflower,0.64
83,sweet_pepper,0.11
84,table,0.08
85,tank,0.31
86,telephone,0.28
87,television,0.11
88,tiger,0.26
89,tractor,0.17
90,train,0.07
91,trout,0.06
92,tulip,0.18
93,turtle,0.04
94,wardrobe,0.47
95,whale,0.26
96,willow_tree,0.33
97,wolf,0.15
98,woman,0.11
99,worm,0.0
